ID,Name,Latex
1,d,d
-1,d~,\overline{d}
2,u,u
-2,u~,\overline{u}
3,s,s
-3,s~,\overline{s}
4,c,c
-4,c~,\overline{c}
5,b,b
-5,b~,\overline{b}
6,t,t
-6,t~,\overline{t}
11,e,e^{-}
-11,e~,e^{+}
12,nu(e),\nu_{e}
-12,nu(e)~,\overline{\nu}_{e}
13,mu,\mu^{-}
-13,mu~,\mu^{+}
14,nu(mu),\nu_{\mu}
-14,nu(mu)~,\overline{\nu}_{\mu}
15,tau,\tau^{-}
-15,tau~,\tau^{+}
16,nu(tau),\nu_{\tau}
-16,nu(tau)~,\overline{\nu}_{\tau}
17,tau',\tau^{\prime-}
-17,tau'~,\tau^{\prime+}
18,nu(tau'),\nu_{\tau^{\prime}}
-18,nu(tau')~,\overline{\nu}_{\tau^{\prime}}
21,g,g
22,gamma,\gamma
23,Z,Z^{0}
24,W,W^{+}
-24,W~,W^{-}
25,H,H^{0}
111,pi,\pi^{0}
113,rho(770),\rho(770)^{0}
115,a(2)(1320),a_{2}(1320)^{0}
117,rho(3)(1690),\rho_{3}(1690)^{0}
119,a(4)(1970),a_{4}(1970)^{0}
130,K(L),K_{L}^{0}
211,pi,\pi^{+}
-211,pi~,\pi^{-}
213,rho(770),\rho(770)^{+}
-213,rho(770)~,\rho(770)^{-}
215,a(2)(1320),a_{2}(1320)^{+}
-215,a(2)(1320)~,a_{2}(1320)^{-}
217,rho(3)(1690),\rho_{3}(1690)^{+}
-217,rho(3)(1690)~,\rho_{3}(1690)^{-}
219,a(4)(1970),a_{4}(1970)^{+}
-219,a(4)(1970)~,a_{4}(1970)^{-}
221,eta,\eta
223,omega(782),\omega(782)
225,f(2)(1270),f_{2}(1270)
227,omega(3)(1670),\omega_{3}(1670)
229,f(4)(2050),f_{4}(2050)
310,K(S),K_{S}^{0}
311,K,K^{0}
-311,K~,\overline{K}^{0}
313,K*(892),K^{*}(892)^{0}
-313,K*(892)~,\overline{K}^{*}(892)^{0}
315,K(2)*(1430),K_{2}^{*}(1430)^{0}
-315,K(2)*(1430)~,\overline{K}_{2}^{*}(1430)^{0}
317,K(3)*(1780),K_{3}^{*}(1780)^{0}
-317,K(3)*(1780)~,\overline{K}_{3}^{*}(1780)^{0}
319,K(4)*(2045),K_{4}^{*}(2045)^{0}
-319,K(4)*(2045)~,\overline{K}_{4}^{*}(2045)^{0}
321,K,K^{+}
-321,K~,K^{-}
323,K*(892),K^{*}(892)^{+}
-323,K*(892)~,K^{*}(892)^{-}
325,K(2)*(1430),K_{2}^{*}(1430)^{+}
-325,K(2)*(1430)~,K_{2}^{*}(1430)^{-}
327,K(3)*(1780),K_{3}^{*}(1780)^{+}
-327,K(3)*(1780)~,K_{3}^{*}(1780)^{-}
329,K(4)*(2045),K_{4}^{*}(2045)^{+}
-329,K(4)*(2045)~,K_{4}^{*}(2045)^{-}
331,eta'(958),\eta^{\prime}(958)
333,phi(1020),\phi(1020)
335,f(2)'(1525),f_{2}^{\prime}(1525)
337,phi(3)(1850),\phi_{3}(1850)
411,D,D^{+}
-411,D~,D^{-}
413,D*(2010),D^{*}(2010)^{+}
-413,D*(2010)~,D^{*}(2010)^{-}
415,D(2)*(2460),D_{2}^{*}(2460)^{+}
-415,D(2)*(2460)~,D_{2}^{*}(2460)^{-}
421,D,D^{0}
-421,D~,\overline{D}^{0}
423,D*(2007),D^{*}(2007)^{0}
-423,D*(2007)~,\overline{D}^{*}(2007)^{0}
425,D(2)*(2460),D_{2}^{*}(2460)^{0}
-425,D(2)*(2460)~,\overline{D}_{2}^{*}(2460)^{0}
431,D(s),D_{s}^{+}
-431,D(s)~,D_{s}^{-}
433,D(s)*,D_{s}^{*+}
-433,D(s)*~,D_{s}^{*-}
435,D(s2)*(2573),D_{s2}^{*}(2573)^{+}
-435,D(s2)*(2573)~,D_{s2}^{*}(2573)^{-}
441,eta(c)(1S),\eta_{c}(1S)
443,J/psi(1S),J/\psi(1S)
445,chi(c2)(1P),\chi_{c2}(1P)
511,B,B^{0}
-511,B~,\overline{B}^{0}
513,B*,B^{*0}
-513,B*~,\overline{B}^{*0}
515,B(2)*(5747),B_{2}^{*}(5747)^{0}
-515,B(2)*(5747)~,\overline{B}_{2}^{*}(5747)^{0}
521,B,B^{+}
-521,B~,B^{-}
523,B*,B^{*+}
-523,B*~,B^{*-}
525,B(2)*(5747),B_{2}^{*}(5747)^{+}
-525,B(2)*(5747)~,B_{2}^{*}(5747)^{-}
531,B(s),B_{s}^{0}
-531,B(s)~,\overline{B}_{s}^{0}
533,B(s)*,B_{s}^{*0}
-533,B(s)*~,\overline{B}_{s}^{*0}
535,B(s2)*(5840),B_{s2}^{*}(5840)^{0}
-535,B(s2)*(5840)~,\overline{B}_{s2}^{*}(5840)^{0}
541,B(c),B_{c}^{+}
-541,B(c)~,B_{c}^{-}
553,Upsilon(1S),\Upsilon(1S)
555,chi(b2)(1P),\chi_{b2}(1P)
1103,(dd)(1),(dd)_{1}
-1103,(dd)(1)~,(dd)_{1}
1112,Delta(1620),\Delta(1620)^{-}
-1112,Delta(1620)~,\overline{\Delta}(1620)^{+}
1114,Delta(1232),\Delta(1232)^{-}
-1114,Delta(1232)~,\overline{\Delta}(1232)^{+}
1116,Delta(1905),\Delta(1905)^{-}
-1116,Delta(1905)~,\overline{\Delta}(1905)^{+}
1118,Delta(1950),\Delta(1950)^{-}
-1118,Delta(1950)~,\overline{\Delta}(1950)^{+}
1212,Delta(1620),\Delta(1620)^{0}
-1212,Delta(1620)~,\overline{\Delta}(1620)^{0}
1214,N(1520),N(1520)^{0}
-1214,N(1520)~,\overline{N}(1520)^{0}
